City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Juba,SS,4.85,31.58,84.61,55,63,5.35,broken clouds
1,Hithadhoo,MV,-0.6,73.08,83.01,77,100,14.47,overcast clouds
2,Grand-Santi,GF,4.25,-54.38,71.69,96,35,2.68,scattered clouds
3,Osmena,PH,10.52,119.93,85.21,74,7,9.95,clear sky
4,Bredasdorp,ZA,-34.53,20.04,68.0,56,57,3.36,broken clouds
5,Ushuaia,AR,-54.8,-68.3,33.8,80,40,35.57,scattered clouds
6,Klaksvik,FO,62.23,-6.59,42.8,75,98,10.29,light rain
7,Kamenka,RU,51.32,42.77,48.99,59,14,8.86,few clouds
8,Boyabat,TR,41.47,34.77,64.4,93,75,13.87,broken clouds
9,Bethel,US,41.37,-73.41,46.0,93,1,1.92,clear sky
10,Sambava,MG,-14.27,50.17,80.73,60,2,15.17,clear sky
11,Tasiilaq,GL,65.61,-37.64,32.0,97,100,5.26,overcast clouds
12,Aklavik,CA,68.22,-135.01,5.0,84,20,7.29,few clouds
13,Puerto Ayora,EC,-0.74,-90.35,69.01,93,100,8.01,overcast clouds
14,Bullhead City,US,35.15,-114.57,73.4,20,1,1.77,clear sky
15,New Norfolk,AU,-42.78,147.06,55.0,64,67,1.01,broken clouds
16,Torbay,CA,47.67,-52.73,52.0,100,90,5.82,mist
17,Upernavik,GL,72.79,-56.15,37.33,74,100,17.67,overcast clouds
18,Hilo,US,19.73,-155.09,75.2,83,90,4.7,overcast clouds
19,Wattegama,LK,6.8,81.48,93.2,56,40,11.41,scattered clouds
20,Lima,PE,-12.04,-77.03,62.01,87,75,8.05,broken clouds
21,Kruisfontein,ZA,-34.0,24.73,69.01,66,99,3.0,overcast clouds
22,Jamestown,US,42.1,-79.24,51.8,66,90,5.82,overcast clouds
23,Fairbanks,US,64.84,-147.72,19.4,73,90,2.17,overcast clouds
24,Sur,OM,22.57,59.53,87.26,35,13,20.56,few clouds
25,Tuktoyaktuk,CA,69.45,-133.04,14.68,93,94,2.48,overcast clouds
26,Khatanga,RU,71.97,102.5,11.28,94,19,8.12,few clouds
27,Omboue,GA,-1.57,9.26,80.89,79,18,9.4,few clouds
28,Forbes,AU,-33.38,148.02,64.99,33,0,5.3,clear sky
29,Itacarambi,BR,-15.1,-44.09,71.35,74,100,5.44,moderate rain
30,Ribeira Grande,PT,38.52,-28.7,59.0,67,40,14.99,scattered clouds
31,Rikitea,PF,-23.12,-134.97,74.23,83,0,19.95,light rain
32,Diego De Almagro,CL,-26.37,-70.05,48.87,78,0,0.6,clear sky
33,Poum,NC,-20.23,164.02,75.4,63,2,7.65,clear sky
34,Port Alfred,ZA,-33.59,26.89,69.98,64,100,12.95,overcast clouds
35,Pevek,RU,69.7,170.31,25.65,94,0,16.28,clear sky
36,Karimganj,IN,24.87,92.35,89.19,65,5,1.3,light rain
37,Yara,CU,20.28,-76.95,72.72,92,100,3.44,light rain
38,Vaini,TO,-21.2,-175.2,69.8,88,40,10.29,scattered clouds
39,Tilichiki,RU,60.47,166.1,36.61,95,100,5.48,overcast clouds
40,Peniche,PT,39.36,-9.38,64.0,81,53,11.99,broken clouds
41,Sao Joao Da Barra,BR,-21.64,-41.05,70.56,80,29,11.99,scattered clouds
42,Atuona,PF,-9.8,-139.03,78.08,77,0,22.24,clear sky
43,Tambun,ID,-6.26,107.07,88.0,88,40,9.17,scattered clouds
44,Nanortalik,GL,60.14,-45.24,38.55,93,99,5.82,overcast clouds
45,Shebunino,RU,46.43,141.86,42.44,61,0,8.59,clear sky
46,Paamiut,GL,61.99,-49.67,39.76,82,98,4.7,overcast clouds
47,Saldanha,ZA,-33.01,17.94,62.6,76,75,11.41,broken clouds
48,Busselton,AU,-33.65,115.33,80.01,33,0,16.46,clear sky
49,Northam,GB,51.03,-4.22,52.0,90,100,4.0,overcast clouds
50,Mataura,NZ,-46.19,168.86,52.0,77,20,8.01,few clouds
51,Hobart,AU,-42.88,147.33,55.4,71,75,11.41,broken clouds
52,Lasa,IT,46.62,10.7,50.0,52,5,2.24,clear sky
53,Saskylakh,RU,71.92,114.08,18.93,97,90,5.17,overcast clouds
54,Chuy,UY,-33.7,-53.46,60.51,96,0,6.67,clear sky
55,Codrington,AU,-38.27,141.97,53.64,80,25,7.45,scattered clouds
56,Bana,CM,5.15,10.28,68.68,90,22,1.86,light rain
57,Tres Palos,MX,18.18,-101.62,72.07,81,100,2.46,overcast clouds
58,Naze,JP,28.37,129.48,77.0,83,75,26.4,broken clouds
59,Carnarvon,AU,-24.87,113.63,77.0,65,2,21.92,clear sky
60,Thompson,CA,55.74,-97.86,24.8,92,75,3.36,light snow
61,Albany,US,42.6,-73.97,51.01,80,64,4.81,broken clouds
62,Lixourion,GR,38.2,20.43,66.2,88,20,3.62,few clouds
63,Butaritari,KI,3.07,172.79,82.71,72,100,15.12,overcast clouds
64,Benguela,AO,-12.58,13.41,77.0,78,75,4.7,broken clouds
65,Kapaa,US,22.08,-159.32,77.0,88,40,5.82,light rain
66,Airai,TL,-8.93,125.41,73.08,59,79,3.0,broken clouds
67,Nata,PA,8.33,-80.52,72.0,83,100,4.34,overcast clouds
68,Sovetskiy,RU,61.36,63.58,35.44,97,100,5.95,light rain
69,Phangnga,TH,8.45,98.53,91.4,66,20,6.93,light rain
70,Waipawa,NZ,-41.41,175.52,59.0,87,77,23.04,broken clouds
71,Chokurdakh,RU,70.63,147.92,17.56,98,89,5.61,light snow
72,Canico,PT,32.63,-16.85,69.8,88,75,2.24,drizzle
73,Poronaysk,RU,49.22,143.12,36.41,72,0,6.42,clear sky
74,Leticia,CO,-4.22,-69.94,73.4,100,40,2.24,light rain
75,Zhanakorgan,KZ,43.91,67.25,78.12,15,0,7.52,clear sky
76,Kloulklubed,PW,7.04,134.26,82.4,78,90,10.29,overcast clouds
77,Guaymas,MX,27.93,-110.9,75.0,82,15,4.88,few clouds
78,Cockburn Town,TC,21.46,-71.14,81.66,73,100,10.71,overcast clouds
79,Punta Arenas,CL,-53.15,-70.92,35.6,79,75,23.04,broken clouds
80,Constitucion,CL,-35.33,-72.42,47.34,71,11,7.7,few clouds
81,Port Elizabeth,ZA,-33.92,25.57,64.4,77,20,8.05,few clouds
82,Opuwo,NA,-18.06,13.84,92.93,11,0,14.97,clear sky
83,Mitsamiouli,KM,-11.38,43.28,86.0,58,40,3.36,scattered clouds
84,Port Hedland,AU,-20.32,118.57,84.2,51,0,17.22,clear sky
85,Hirara,JP,24.8,125.28,82.4,74,75,17.22,broken clouds
86,Cape Town,ZA,-33.93,18.42,66.99,63,20,12.75,few clouds
87,Samarai,PG,-10.62,150.67,80.15,87,74,10.6,light rain
88,Jiuquan,CN,39.74,98.52,60.78,25,100,24.54,overcast clouds
89,Victor Harbor,AU,-35.57,138.62,59.0,70,0,8.5,clear sky
90,Georgetown,MY,5.41,100.34,91.4,66,20,8.05,light rain
91,Castro,BR,-24.79,-50.01,58.5,90,96,8.63,overcast clouds
92,Saint-Philippe,RE,-21.36,55.77,82.4,61,36,20.8,scattered clouds
93,Yellowknife,CA,62.46,-114.35,21.2,85,75,2.24,broken clouds
94,Umm Lajj,SA,25.02,37.27,94.95,24,0,10.89,clear sky
95,Cidreira,BR,-30.18,-50.21,65.79,83,0,17.65,clear sky
96,Cacu,BR,-18.56,-51.13,73.15,71,100,4.85,overcast clouds
97,Hermanus,ZA,-34.42,19.23,64.99,73,18,1.99,few clouds
98,Axim,GH,4.87,-2.24,78.48,83,100,5.93,overcast clouds
99,Yulara,AU,-25.24,130.99,82.4,45,17,14.99,few clouds
100,Porto Novo,BJ,6.5,2.6,78.8,94,40,3.36,scattered clouds
101,Pangody,RU,65.85,74.49,25.2,95,32,8.57,scattered clouds
102,Port-Cartier,CA,50.03,-66.87,39.99,80,75,10.29,broken clouds
103,Vung Tau,VN,10.35,107.08,80.87,79,99,8.99,overcast clouds
104,Conceicao Do Araguaia,BR,-8.26,-49.26,75.52,72,76,2.86,broken clouds
105,Oksfjord,NO,70.24,22.35,33.8,80,20,3.36,few clouds
106,Marawi,PH,8.0,124.29,82.99,82,100,4.0,moderate rain
107,Nikolskoye,RU,59.7,30.79,37.4,78,75,6.71,broken clouds
108,Chiredzi,ZW,-21.05,31.67,91.47,21,0,9.84,clear sky
109,Coruripe,BR,-10.13,-36.18,72.84,79,31,5.88,scattered clouds
110,Tahta,EG,26.77,31.5,86.0,30,0,3.36,clear sky
111,Taseyevo,RU,57.22,94.9,32.68,88,100,13.35,overcast clouds
112,Avera,US,33.19,-82.53,55.4,100,1,4.7,clear sky
113,Provideniya,RU,64.38,-173.3,32.59,91,10,3.51,clear sky
114,Puksoozero,RU,62.59,40.61,32.79,95,98,5.23,overcast clouds
115,Chernigovka,RU,44.34,132.57,49.89,56,0,8.68,clear sky
116,Iskateley,RU,67.68,53.15,29.93,95,0,3.15,clear sky
117,Hualmay,PE,-11.1,-77.61,60.51,87,12,8.39,few clouds
118,Kasongo-Lunda,CD,-6.47,16.82,83.59,67,84,1.36,broken clouds
119,Avarua,CK,-21.21,-159.78,73.4,88,35,2.24,scattered clouds
120,Bambous Virieux,MU,-20.34,57.76,81.0,61,40,13.87,scattered clouds
121,Kaitangata,NZ,-46.28,169.85,50.0,81,43,8.57,scattered clouds
122,Catalina,US,32.51,-110.92,66.99,26,34,1.63,scattered clouds
123,Geraldton,AU,-28.77,114.6,69.8,73,90,17.22,overcast clouds
124,Port Lincoln,AU,-34.73,135.87,58.42,63,34,11.86,scattered clouds
125,Taltal,CL,-25.4,-70.48,54.48,78,50,1.59,scattered clouds
126,Arraial Do Cabo,BR,-22.97,-42.03,71.15,79,86,19.73,overcast clouds
127,Oranjemund,NA,-28.55,16.43,63.45,64,19,11.99,few clouds
128,College,US,64.86,-147.8,19.4,73,90,1.99,overcast clouds
129,Karangampel,ID,-6.46,108.45,86.31,60,19,13.22,few clouds
130,Wanxian,CN,30.8,108.39,69.04,61,87,3.09,overcast clouds
131,Hami,CN,42.8,93.45,68.5,22,81,20.51,broken clouds
132,Ravar,IR,31.27,56.81,75.99,11,0,7.67,clear sky
133,Flin Flon,CA,54.77,-101.86,21.63,96,44,5.55,scattered clouds
134,Komsomolskiy,UZ,40.43,71.72,73.4,27,0,4.7,clear sky
135,San Carlos De Bariloche,AR,-41.15,-71.31,41.0,65,20,24.16,few clouds
136,Tiksi,RU,71.69,128.87,17.71,94,92,20.27,overcast clouds
137,Vila Franca Do Campo,PT,37.72,-25.43,64.4,68,20,23.04,few clouds
138,Begunitsy,RU,59.59,29.32,37.4,93,75,6.71,broken clouds
139,Wanlaweyn,SO,2.62,44.89,84.69,57,67,11.07,broken clouds
140,Shimoda,JP,34.67,138.95,59.0,82,90,16.11,light rain
141,Doha,QA,25.29,51.53,98.01,36,0,13.87,clear sky
142,Balingasay,PH,16.36,119.86,85.03,71,10,8.77,clear sky
143,Iqaluit,CA,63.75,-68.51,33.8,74,75,4.7,broken clouds
144,Severo-Kurilsk,RU,50.68,156.12,46.9,89,95,10.58,overcast clouds
145,Jinxiang,CN,27.43,120.61,68.29,68,71,18.9,broken clouds
146,Gat,IL,31.61,34.76,81.0,29,0,8.08,clear sky
147,Dunedin,NZ,-45.87,170.5,50.0,81,95,11.61,overcast clouds
148,Beringovskiy,RU,63.05,179.32,34.95,86,74,7.25,broken clouds
149,Coahuayana,MX,18.73,-103.68,78.33,88,100,3.29,overcast clouds
150,Souillac,MU,-20.52,57.52,80.6,61,40,13.87,scattered clouds
151,Kavieng,PG,-2.57,150.8,84.02,68,25,5.53,scattered clouds
152,Faanui,PF,-16.48,-151.75,79.21,84,100,13.71,overcast clouds
153,Luderitz,NA,-26.65,15.16,71.2,36,0,19.84,clear sky
154,Lebu,CL,-37.62,-73.65,45.97,86,0,4.21,clear sky
155,Richards Bay,ZA,-28.78,32.04,78.78,58,46,3.8,scattered clouds
156,Kaduqli,SD,11.02,29.72,85.14,56,20,6.44,few clouds
157,Palana,RU,59.12,159.97,37.15,84,100,11.1,light rain
158,Kamariotissa,GR,40.48,25.47,64.4,51,97,8.05,overcast clouds
159,Kempele,FI,64.91,25.5,35.6,93,90,12.75,overcast clouds
160,Barranca,PE,-10.75,-77.77,59.29,91,47,5.39,scattered clouds
161,Bisignano,IT,39.51,16.28,60.01,89,1,5.3,clear sky
162,Russell,US,32.35,-85.2,62.6,87,75,3.36,broken clouds
163,Scarborough,GB,54.28,-0.4,48.0,89,100,4.0,overcast clouds
164,Hanzhong,CN,33.07,107.03,67.46,46,57,3.74,broken clouds
165,Adwa,ET,14.16,38.9,74.8,32,0,3.71,clear sky
166,East London,ZA,-33.02,27.91,66.2,77,75,12.75,broken clouds
167,Illapel,CL,-31.63,-71.17,50.13,68,0,1.68,clear sky
168,Kyra,RU,49.58,111.98,45.25,56,100,3.06,overcast clouds
169,Turukhansk,RU,65.82,87.98,18.16,97,100,11.07,light snow
170,Taoudenni,ML,22.68,-3.98,82.78,15,0,2.46,clear sky
171,Tripoli,LY,32.88,13.19,72.27,47,50,10.76,scattered clouds
172,Alihe,CN,50.57,123.72,41.76,68,0,3.65,clear sky
173,Whitianga,NZ,-36.83,175.7,61.0,87,94,5.01,overcast clouds
174,Barrow,US,71.29,-156.79,21.2,85,90,13.87,overcast clouds
175,Chapais,CA,49.78,-74.85,32.0,98,90,5.82,light snow
176,Kodiak,US,57.79,-152.41,35.6,77,1,5.82,clear sky
177,Crib Point,AU,-38.35,145.2,55.0,72,88,8.97,overcast clouds
178,Aripuana,BR,-9.17,-60.63,72.21,99,100,2.51,moderate rain
179,Itarema,BR,-2.92,-39.92,79.16,78,74,15.14,broken clouds
180,Basoko,CD,1.24,23.62,82.29,70,47,2.28,light rain
181,Port Hardy,CA,50.7,-127.42,51.8,93,75,5.82,broken clouds
182,Balykshi,KZ,47.07,51.87,69.8,26,0,15.66,clear sky
183,Roald,NO,62.58,6.13,37.4,93,75,5.82,shower rain
184,Edd,ER,13.93,41.69,90.55,41,0,8.39,clear sky
185,Dolinsk,RU,47.35,142.8,42.8,45,9,8.95,clear sky
186,Turtas,RU,58.94,69.13,32.27,98,100,13.15,overcast clouds
187,Kalmunai,LK,7.42,81.82,87.93,55,74,12.48,broken clouds
188,Lavrentiya,RU,65.58,-171.0,33.48,91,29,5.77,scattered clouds
189,Erdenet,MN,49.03,104.08,45.21,53,100,2.98,overcast clouds
190,Bulgan,MN,48.81,103.53,48.02,49,100,6.6,overcast clouds
191,Soyo,AO,-6.13,12.37,77.0,94,75,4.7,broken clouds
192,Vire,FR,48.92,-0.83,42.8,93,100,9.17,overcast clouds
193,Mashhad,IR,36.3,59.61,69.8,20,0,4.7,clear sky
194,Dallas,US,32.77,-96.78,59.0,77,75,10.29,broken clouds
195,Ponta Delgada,PT,37.73,-25.67,64.4,68,20,23.04,few clouds
196,Tshikapa,CD,-6.42,20.8,85.35,64,24,2.37,few clouds
197,Chimore,BO,-16.98,-65.13,75.36,58,0,1.83,clear sky
198,Abalak,RU,58.13,68.59,36.75,79,100,8.16,light rain
199,Mar Del Plata,AR,-38.0,-57.56,62.6,100,90,6.93,light rain
200,Warka,PL,51.78,21.19,50.0,70,0,3.0,clear sky
201,Isangel,VU,-19.55,169.27,73.74,79,10,11.1,light rain
202,Grandview,US,38.89,-94.53,43.0,52,90,12.75,overcast clouds
203,Buraydah,SA,26.33,43.98,78.8,24,0,2.24,clear sky
204,Khani,GE,41.96,42.96,73.4,53,40,8.05,scattered clouds
205,Lorengau,PG,-2.02,147.27,81.82,76,63,4.43,light rain
206,Port Augusta,AU,-32.5,137.77,72.0,45,100,11.41,overcast clouds
207,Yaan,NG,7.38,8.57,76.69,89,82,7.7,broken clouds
208,Tual,ID,-5.67,132.75,81.09,75,53,11.36,broken clouds
209,Vao,NC,-22.67,167.48,72.03,79,73,16.96,broken clouds
210,Cajuru,BR,-21.28,-47.3,73.4,69,98,4.7,overcast clouds
211,Pacific Grove,US,36.62,-121.92,61.0,100,90,2.35,mist
212,Mount Gambier,AU,-37.83,140.77,55.4,66,90,10.29,overcast clouds
213,Inhambane,MZ,-23.86,35.38,80.53,49,0,8.99,clear sky
214,Martil,MA,35.62,-5.28,68.0,82,40,11.41,scattered clouds
215,Beckley,US,37.78,-81.19,52.0,62,75,6.93,broken clouds
216,Abu Samrah,SY,35.3,37.18,82.29,19,0,3.69,clear sky
217,Rockport,US,28.02,-97.05,79.0,100,20,9.17,few clouds
218,Andenes,NO,69.31,16.12,32.0,69,20,8.05,few clouds
219,Pacifica,US,37.61,-122.49,61.0,72,1,9.17,clear sky
220,Zdunska Wola,PL,51.6,18.94,46.0,89,0,1.99,clear sky
221,El Ejido,ES,36.78,-2.81,66.99,31,100,12.75,overcast clouds
222,Tigil,RU,57.8,158.67,37.81,79,64,12.3,broken clouds
223,Saint George,US,37.1,-113.58,62.6,18,1,3.36,clear sky
224,Norman Wells,CA,65.28,-126.83,-0.4,84,5,3.36,clear sky
225,Bathsheba,BB,13.22,-59.52,75.2,94,20,4.7,few clouds
226,Gumdag,TM,39.21,54.59,79.05,15,0,6.17,clear sky
227,Cajaruro,PE,-5.74,-78.43,72.25,64,32,3.09,scattered clouds
228,Upata,VE,8.01,-62.4,78.01,88,6,2.57,clear sky
229,Alyangula,AU,-13.85,136.42,93.2,36,100,11.41,overcast clouds
230,Pangnirtung,CA,66.15,-65.71,29.55,95,100,17.02,overcast clouds
231,San Cristobal,VE,7.77,-72.22,65.7,76,99,1.36,moderate rain
232,Touros,BR,-5.2,-35.46,71.6,88,40,3.36,scattered clouds
233,Okha,RU,53.57,142.95,31.95,95,100,17.29,overcast clouds
234,Saint-Denis,FR,48.92,2.33,46.4,100,42,4.7,mist
235,Zharkent,KZ,44.16,80.0,66.16,24,0,6.58,clear sky
236,Dalvik,IS,65.97,-18.53,37.4,69,90,3.36,overcast clouds
237,Bonavista,CA,48.65,-53.11,50.0,79,100,1.01,overcast clouds
238,Dukat,RU,62.55,155.55,19.36,97,99,3.47,overcast clouds
239,Valparaiso,CL,-33.04,-71.63,41.0,100,0,1.12,clear sky
240,Ahipara,NZ,-35.17,173.17,57.61,90,34,7.25,scattered clouds
241,Te Anau,NZ,-45.42,167.72,43.7,87,36,4.18,scattered clouds
242,Chulman,RU,56.85,124.91,19.4,93,43,4.56,scattered clouds
243,Marechal Candido Rondon,BR,-24.56,-54.06,69.06,78,0,8.34,clear sky
244,Burnie,AU,-41.07,145.92,61.0,53,0,15.01,clear sky
245,Gobabis,NA,-22.45,18.97,89.06,11,5,12.37,clear sky
246,Vardo,NO,70.37,31.11,37.4,70,40,21.92,shower rain
247,Beipiao,CN,41.79,120.78,66.65,24,0,7.61,clear sky
248,Alofi,NU,-19.06,-169.92,73.4,94,90,10.29,overcast clouds
249,Ballina,AU,-28.87,153.57,69.8,77,75,18.34,broken clouds
250,Mahebourg,MU,-20.41,57.7,80.6,61,40,13.87,scattered clouds
251,Cody,US,44.53,-109.06,32.0,92,90,4.7,overcast clouds
252,Lagoa,PT,39.05,-27.98,62.4,72,100,23.29,light rain
253,Antofagasta,CL,-23.65,-70.4,55.4,100,90,5.82,drizzle
254,Flinders,AU,-34.58,150.86,64.0,69,59,1.01,broken clouds
255,Slonim,BY,53.09,25.32,43.11,67,98,11.83,overcast clouds
256,Preobrazheniye,RU,42.9,133.91,51.96,53,0,12.03,clear sky
257,Teya,RU,60.38,92.63,28.54,91,100,14.36,overcast clouds
258,Bereda,ES,43.27,-7.54,54.0,1,100,3.87,overcast clouds
259,Cabo San Lucas,MX,22.89,-109.91,79.0,88,6,1.01,clear sky
260,Ambilobe,MG,-13.2,49.05,97.61,23,0,1.77,clear sky
261,Santiago De Chuco,PE,-8.15,-78.18,52.02,71,86,0.49,overcast clouds
262,Kot Diji,PK,27.34,68.71,99.72,8,0,3.2,clear sky
263,Qaanaaq,GL,77.48,-69.36,24.03,83,57,6.51,broken clouds
264,Ponta Do Sol,PT,32.67,-17.1,69.8,88,75,2.24,drizzle
265,Terney,RU,45.05,136.61,48.13,50,0,3.18,clear sky
266,Yumen,CN,40.28,97.2,59.11,28,100,27.63,overcast clouds
267,Goundam,ML,16.41,-3.67,89.04,18,37,12.66,scattered clouds
268,Charters Towers,AU,-20.1,146.27,90.28,21,8,9.6,clear sky
269,Solnechnyy,RU,50.72,136.63,30.51,87,100,3.58,overcast clouds
270,Bluff,NZ,-46.6,168.33,52.0,77,49,8.01,scattered clouds
271,Nishihara,JP,26.18,127.76,84.2,94,75,11.41,shower rain
272,Jacmel,HT,18.23,-72.53,75.2,88,89,3.36,light rain
273,Necochea,AR,-38.55,-58.74,55.99,88,100,1.99,light rain
274,Tuatapere,NZ,-46.13,167.68,52.0,77,68,8.01,broken clouds
275,Betioky,MG,-23.72,44.38,105.17,15,0,0.65,clear sky
276,Bilma,NE,18.69,12.92,91.78,11,0,8.37,clear sky
277,Fort Nelson,CA,58.81,-122.7,8.6,84,5,3.36,clear sky
278,Susangerd,IR,31.56,48.18,89.6,24,0,2.24,clear sky
279,Qui Nhon,VN,13.77,109.23,82.09,79,30,5.7,light rain
280,Sola,VU,-13.88,167.55,80.08,77,0,18.5,clear sky
281,Dingle,PH,11.0,122.67,79.92,88,100,6.53,overcast clouds
282,Santa Luzia,BR,-19.77,-43.85,62.6,88,40,9.17,scattered clouds
283,Sterling,US,39.01,-77.43,54.0,93,75,3.69,broken clouds
284,Markova,UA,48.68,24.41,50.0,66,90,8.95,overcast clouds
285,Moose Factory,CA,51.26,-80.61,28.4,92,90,6.93,overcast clouds
286,Moree,AU,-29.47,149.85,75.2,38,0,10.29,clear sky
287,Port Macquarie,AU,-31.43,152.92,64.99,75,82,10.92,light rain
288,Narsaq,GL,60.92,-46.05,35.6,85,93,2.73,mist
289,Lata,PT,40.16,-8.33,64.0,73,68,1.01,broken clouds
290,Quatre Cocos,MU,-20.21,57.76,81.0,61,40,13.87,scattered clouds
291,Gombong,ID,-7.61,109.51,66.99,78,96,9.48,light rain
292,Negombo,LK,7.21,79.84,86.0,70,40,10.29,scattered clouds
293,Ingham,US,42.6,-84.38,39.2,93,40,3.74,scattered clouds
294,Puerto Colombia,CO,10.99,-74.95,71.6,100,40,3.36,scattered clouds
295,Dalbandin,PK,28.89,64.41,77.07,12,0,3.91,clear sky
296,Kidal,ML,18.44,1.41,88.03,14,34,13.62,scattered clouds
297,Nizhnevartovsk,RU,60.93,76.55,32.0,96,90,11.18,overcast clouds
298,Intipuca,SV,13.2,-88.05,73.92,93,100,3.53,light rain
299,Smidovich,RU,48.6,133.82,40.46,68,60,7.02,broken clouds
300,Pa Sang,TH,18.53,98.94,73.4,83,75,5.82,light intensity drizzle
301,Birnin Kebbi,NG,12.45,4.2,85.24,53,0,7.94,clear sky
302,Vanavara,RU,60.34,102.28,29.28,95,100,14.92,overcast clouds
303,Westport,US,41.14,-73.36,51.8,81,1,4.7,clear sky
304,Berlevag,NO,70.86,29.09,30.2,92,75,8.05,shower rain
305,Maposeni,TZ,-10.58,35.4,75.2,69,75,17.22,broken clouds
306,Umm Kaddadah,SD,13.6,26.69,89.24,12,3,8.63,clear sky
307,Dakar,SN,14.69,-17.44,82.4,88,20,2.24,few clouds
308,Sundumbili,ZA,-29.13,31.4,73.4,73,75,8.05,broken clouds
309,Marovoay,MG,-16.1,46.63,91.4,36,20,12.75,few clouds
310,Kyshtovka,RU,56.55,76.63,37.74,75,100,15.9,overcast clouds
311,Hasaki,JP,35.73,140.83,59.0,100,90,4.7,moderate rain
312,Gboko,NG,7.32,9.0,78.3,82,61,10.18,broken clouds
313,Sorland,NO,67.67,12.69,41.0,60,0,9.17,clear sky
314,Bengkulu,ID,-3.8,102.27,82.98,73,100,7.29,light rain
315,Nara,JP,34.69,135.8,62.6,82,75,2.24,broken clouds
316,San Andres,CO,12.58,-81.7,82.4,83,75,5.82,broken clouds
317,Longyearbyen,SJ,78.22,15.64,28.4,63,75,5.82,broken clouds
318,High Rock,BS,26.62,-78.28,81.45,77,97,19.57,overcast clouds
319,Pingliang,CN,35.54,106.69,58.1,36,84,9.73,broken clouds
320,Coihaique,CL,-45.58,-72.07,37.4,89,90,3.36,light rain
321,Qaqortoq,GL,60.72,-46.03,35.6,91,98,2.8,mist
322,San Luis De La Paz,MX,21.3,-100.52,55.0,87,32,3.91,scattered clouds
323,Takhtamygda,RU,54.1,123.57,30.74,94,92,2.95,overcast clouds
324,Xiangxiang,CN,27.73,112.53,66.54,65,10,7.78,clear sky
325,Sinjai,ID,-5.12,120.25,86.14,55,100,8.43,overcast clouds
326,Copiapo,CL,-27.37,-70.33,53.6,93,0,10.29,clear sky
327,Dikson,RU,73.51,80.55,25.25,95,78,25.84,broken clouds
328,Sao Filipe,CV,14.9,-24.5,79.97,79,99,1.21,overcast clouds
329,Ilulissat,GL,69.22,-51.1,42.8,75,99,1.12,light intensity shower rain
330,Gorele,TR,41.03,39.0,73.4,64,40,5.82,scattered clouds
331,Moundsville,US,39.92,-80.74,55.4,62,75,4.7,broken clouds
332,Mabaruma,GY,8.2,-59.78,74.28,91,38,2.33,scattered clouds
333,Ilebo,CD,-4.32,20.58,84.58,62,85,4.03,overcast clouds
334,Korla,CN,41.76,86.15,66.67,23,0,4.52,clear sky
335,Banswara,IN,23.55,74.45,94.71,42,18,2.71,few clouds
336,Victoria,HK,22.29,114.16,81.0,64,10,1.01,clear sky
337,Tres Arroyos,AR,-38.37,-60.28,56.79,77,89,4.83,overcast clouds
338,Roma,US,43.21,-75.46,57.2,62,90,6.93,overcast clouds
339,Labuhan,ID,-6.88,112.21,76.89,86,100,12.55,light rain
